"","UserID","ItemID","Timestamp"
"1",6040,593,956703954
"2",6040,2019,956703977
"3",6040,213,956704056
"4",6040,3111,956704056
"5",6040,912,956704191
"6",6040,919,956704191
"7",6040,2503,956704191
"8",6040,527,956704219
"9",6040,649,956704257
"10",6040,1252,956704257
"11",6040,3289,956704305
"12",6040,759,956704448
"13",6040,1649,956704519
"14",6040,2028,956704519
"15",6040,246,956704613
"16",6040,1111,956704716
"17",6040,1392,956704716
"18",6040,562,956704746
"19",6040,1537,956704788
"20",6040,1094,956704887
"21",6040,58,956705033
"222",6040,1189,956715288
"223",6040,2512,956715383
"224",6040,1300,956715421
"225",6040,1199,956715455
"226",6040,1288,956715490
"227",6040,1307,956715490
"228",6040,1150,956715569
"229",6040,1185,956715569
"230",6040,3521,956715569
"231",6040,2076,956715676
"232",6040,2022,956716207
"234",6040,3224,956716750
"235",6040,923,956716777
"236",6040,1228,956716777
"237",6040,913,956716845
"238",6040,3089,956716845
"239",6040,2357,956716873
"385",6026,924,956725858
"386",6026,260,956725858
"387",6026,750,956725858
"388",6026,541,956725858
"389",6026,1196,956725904
"390",6026,1206,956725904
"391",6026,1199,956725941
"392",6026,1210,956725941
"393",6026,1077,956725941
"394",6026,1097,956725986
"395",6026,2628,956726048
"397",6026,2407,956726227
"410",6026,162,956726748
"413",6026,923,956726796
"414",6026,1225,956726796
"417",6026,1233,956726855
"941",5999,922,956846468
"942",5999,3435,956846468
"943",5999,1248,956846468
"944",5999,1252,956846468
"945",5999,1260,956846468
"946",5999,1267,956846468
"947",5999,2066,956846504
"948",5999,2186,956846504
"949",5999,1069,956846504
"950",5999,541,956846504
"951",5999,942,956846534
"952",5999,2940,956846534
"953",5999,746,956846534
"1284",5988,1079,956875482
"1285",5988,1719,956875594
"1286",5988,2858,956875621
"1287",5988,2324,956875752
"1288",5988,36,956875806
"3878",5898,3072,957448971
"3879",5898,50,957449444
"4718",5877,1257,957551437
"4719",5877,2628,957551437
"4720",5877,1196,957551491
"4722",5877,2716,957551733
"4725",5877,2762,957551857
"4726",5877,2700,957551879
"5504",6040,750,957716639
"5506",6040,1237,957716673
"5507",6040,111,957716717
"5508",6040,1208,957716754
"5509",6040,1254,957716795
"5510",6040,1276,957716795
"5511",6040,2010,957716795
"5513",6040,1929,957716861
"5514",6040,1219,957716861
"5516",6040,1104,957716904
"5518",6040,2599,957716949
"5519",6040,2289,957716979
"5520",6040,1952,957717017
"5521",6040,1251,957717017
"5523",6040,80,957717093
"5525",6040,3134,957717123
"5526",6040,2728,957717123
"5527",6040,2624,957717158
"5529",6040,924,957717191
"5530",6040,1719,957717223
"5532",6040,1945,957717274
"5533",6040,1203,957717274
"5534",6040,916,957717557
"6509",5839,678,957836436
"6510",5839,2028,957836436
"6511",5839,527,957836580
"6512",5839,2297,957836605
"6513",5839,2023,957836605
"6514",5839,318,957836732
"6515",5839,1221,957836765
"6516",5839,1198,957836782
"6517",5839,110,957836845
"6518",5839,293,957837159
"6519",5839,2918,957837159
"6520",5839,2948,957837159
"6521",5839,1265,957837159
"6522",5839,1,957837181
"6523",5839,1278,957837181
"6524",5839,1284,957837208
"6525",5839,913,957837246
"6526",5839,949,957837246
"6527",5839,953,957837246
"6933",5825,1196,957897515
"6943",5825,296,957897876
"6952",5825,593,957897993
"6953",5825,3418,957898045
"6963",5825,2997,957898434
"6964",5825,223,957898463
"6965",5825,2355,957898463
"6967",5825,2318,957898597
"6968",5825,3160,957898625
"6969",5825,2692,957898720
"6970",5825,2396,957898720
"6971",5825,2762,957898753
"6976",5825,3114,957898792
"6979",5825,1428,957899108
"6983",5825,318,957899241
"6984",5825,1193,957899257
"6985",5825,50,957899257
"7721",5825,745,958015024
"7722",5825,556,958015065
"7723",5825,1111,958015118
"7724",5825,1089,958015135
"7725",5825,2571,958015216
"7727",5825,1,958015238
"7729",5825,1673,958015369
"7730",5825,1641,958015442
"7731",5825,1921,958015555
"7732",5825,2329,958015589
"10020",5737,527,958417920
"10023",5737,593,958418280
"10027",5737,913,958418591
"10029",5737,1096,958418814
"10030",5737,608,958418865
"10031",5737,750,958418895
"10032",5737,1537,958418944
"10033",5737,924,958418959
"10034",5737,47,958419161
"10992",5697,1198,958589676
"10994",5697,1721,958589721
"10995",5697,2021,958589721
"10996",5697,3555,958589787
"11000",5697,3513,958589867
"11001",5697,3565,958589867
"11002",5697,3578,958589969
"11003",5697,2628,958590012
"11006",5697,3360,958590160
"11007",5697,2762,958590160
"11008",5697,2861,958590206
"11011",5697,3082,958590339
"11043",5693,1230,958595462
"11044",5693,111,958595524
"11047",5693,913,958595698
"11048",5693,1284,958595698
"11049",5693,923,958595794
"11050",5693,912,958595829
"11051",5693,2731,958595849
"11053",5693,3089,958595870
"11054",5693,2360,958595892
"11058",5693,2289,958596018
"11059",5693,123,958596018
"11505",5737,2150,958612744
"11506",5737,1965,958612775
"11507",5737,2791,958612775
"11818",5737,2324,958696203
"13003",5643,902,958888638
"13004",5643,1617,958888638
"13006",5643,1207,958888852
"13007",5643,2858,958888873
"13008",5643,318,958888873
"13009",5643,1204,958888873
"13010",5643,2396,958888922
"13011",5643,910,958888961
"13012",5643,34,958888981
"13013",5643,608,958889005
"13014",5643,1,958889060
"13015",5643,904,958889141
"13016",5643,2804,958889173
"13017",5643,909,958889214
"13018",5643,3543,958889214
"13019",5643,1247,958889237
"13020",5643,3361,958889237
"13021",5643,926,958889265
"13022",5643,1185,958889265
"13023",5643,1189,958889284
"13024",5643,3545,958889284
"13025",5643,1300,958889284
"13026",5643,2599,958889357
"13027",5643,2973,958889371
"13028",5643,1136,958889392
"13029",5643,1197,958889392
"13030",5643,955,958889465
"13031",5643,1198,958889622
"13032",5643,911,958889707
"13033",5643,1674,958889707
"13034",5643,951,958889795
"13035",5643,1036,958889795
"13036",5643,1294,958889826
"13037",5643,1188,958889939
"13038",5643,1964,958889961
"13039",5643,1500,958890060
"13040",5643,2819,958890088
"13041",5643,1186,958890173
"13042",5643,1625,958890217
"13043",5643,2917,958890266
"13044",5643,1680,958890308
"13045",5643,1641,958890359
"13046",5643,915,958890402
