"","user_id","track_id","timestamp"
"9",40958,8826,"2010-01-01 01:22:39"
"10",40958,8825,"2010-01-01 01:22:50"
"11",40958,8836,"2010-01-01 01:22:58"
"12",40958,19882,"2010-01-01 01:23:26"
"13",40958,27698,"2010-01-01 01:23:28"
"14",40958,25104,"2010-01-01 01:23:32"
"15",40958,22623,"2010-01-01 01:23:33"
"16",40958,19882,"2010-01-01 01:23:35"
"17",40958,27698,"2010-01-01 01:23:40"
"18",40958,18379,"2010-01-01 01:23:51"
"19",40958,18380,"2010-01-01 01:23:53"
"20",40958,18380,"2010-01-01 01:24:27"
"21",40958,18379,"2010-01-01 01:24:34"
"22",40958,18380,"2010-01-01 01:24:36"
"23",40958,35057,"2010-01-01 01:25:25"
"27",42007,12656,"2010-01-01 02:21:54"
"28",42007,14614,"2010-01-01 02:21:55"
"29",42007,6257,"2010-01-01 02:21:57"
"30",42007,10085,"2010-01-01 02:21:58"
"31",42007,14143,"2010-01-01 02:21:59"
"32",42007,10090,"2010-01-01 02:22:16"
"33",42007,14608,"2010-01-01 02:22:20"
"34",42007,24454,"2010-01-01 02:23:31"
"35",42007,24456,"2010-01-01 02:23:53"
"36",42007,29225,"2010-01-01 02:24:33"
"194",15972,27205,"2010-01-01 12:46:46"
"199",15972,5066,"2010-01-01 12:51:11"
"202",15972,5065,"2010-01-01 12:53:21"
"203",15972,5066,"2010-01-01 12:53:25"
"204",15972,5065,"2010-01-01 12:53:36"
"205",15972,5066,"2010-01-01 12:53:38"
"206",15972,5065,"2010-01-01 12:53:39"
"207",15972,27205,"2010-01-01 12:53:53"
"208",15972,5065,"2010-01-01 12:53:57"
"209",15972,5059,"2010-01-01 12:54:06"
"210",15972,5056,"2010-01-01 12:54:07"
"211",15972,27205,"2010-01-01 12:54:09"
"212",15972,5066,"2010-01-01 12:54:16"
"214",15972,5059,"2010-01-01 12:56:51"
"215",15972,5059,"2010-01-01 12:56:53"
"216",15972,5059,"2010-01-01 12:56:55"
"217",15972,5059,"2010-01-01 12:56:57"
"218",15972,5059,"2010-01-01 12:56:59"
"219",15972,5056,"2010-01-01 12:57:10"
"220",15972,5055,"2010-01-01 12:57:20"
"221",15972,5063,"2010-01-01 12:57:23"
"222",15972,27205,"2010-01-01 12:57:36"
"223",15972,5066,"2010-01-01 12:57:40"
"224",15972,27205,"2010-01-01 12:57:48"
"229",15972,5066,"2010-01-01 13:02:28"
"231",15972,5066,"2010-01-01 13:03:43"
"232",15972,5066,"2010-01-01 13:03:45"
"233",15972,5066,"2010-01-01 13:03:47"
"234",15972,5055,"2010-01-01 13:03:54"
"235",15972,5055,"2010-01-01 13:03:55"
"236",15972,5060,"2010-01-01 13:04:05"
"237",15972,5060,"2010-01-01 13:04:07"
"239",15972,5060,"2010-01-01 13:04:15"
"240",15972,5060,"2010-01-01 13:04:16"
"241",15972,5050,"2010-01-01 13:04:23"
"242",15972,5050,"2010-01-01 13:04:25"
"243",15972,5051,"2010-01-01 13:04:35"
"244",15972,5051,"2010-01-01 13:04:37"
"245",15972,5051,"2010-01-01 13:04:40"
"246",15972,27205,"2010-01-01 13:04:41"
"247",15972,27205,"2010-01-01 13:04:43"
"248",15972,27205,"2010-01-01 13:04:45"
"249",15972,5066,"2010-01-01 13:04:49"
"253",15972,32985,"2010-01-01 13:06:10"
"255",15972,1716,"2010-01-01 13:07:49"
"256",15972,26511,"2010-01-01 13:08:01"
"258",15972,36932,"2010-01-01 13:09:52"
"259",15972,31161,"2010-01-01 13:10:00"
"260",15972,36932,"2010-01-01 13:10:04"
"261",15972,31161,"2010-01-01 13:11:58"
"262",15972,9041,"2010-01-01 13:12:11"
"263",15972,38390,"2010-01-01 13:12:28"
"264",15972,36956,"2010-01-01 13:13:42"
"265",15972,36559,"2010-01-01 13:14:16"
"266",15972,37491,"2010-01-01 13:15:10"
"267",15972,37296,"2010-01-01 13:15:24"
"268",15972,33722,"2010-01-01 13:15:49"
"269",15972,33721,"2010-01-01 13:16:06"
"270",15972,33722,"2010-01-01 13:16:17"
"271",15972,33721,"2010-01-01 13:16:32"
"272",15972,33721,"2010-01-01 13:22:02"
"276",15972,28343,"2010-01-01 13:25:27"
"279",15972,26579,"2010-01-01 13:28:56"
"280",15972,35268,"2010-01-01 13:32:00"
"281",15972,35274,"2010-01-01 13:36:08"
"285",15972,35270,"2010-01-01 13:40:36"
"296",15972,35271,"2010-01-01 13:44:44"
"320",15972,35272,"2010-01-01 13:48:22"
"324",15972,35273,"2010-01-01 13:52:54"
