"","V1","V2"
"21",385,322
"103",770,14147
"104",770,8876
"105",770,13597
"106",770,8404
"375",665,24745
"376",665,24746
"377",665,24749
"378",665,24747
"379",665,24748
"380",665,24742
"381",665,24743
"382",665,24744
"442",81,2167
"478",5047,17264
"479",5047,17260
"480",5047,17262
"481",5047,25120
"482",5047,20819
"483",385,25510
"484",385,25512
"485",385,25511
"486",385,25513
"487",385,25514
"488",5047,7146
"507",770,2523
"560",566,26029
"561",566,26031
"659",385,15584
"660",385,15585
"776",8652,23078
"777",8652,23080
"778",8652,23079
"779",8652,23084
"780",8652,23083
"781",8652,23081
"782",8652,23082
"797",8662,23078
"798",8662,23079
"799",8662,23080
"800",8662,23084
"801",8662,23083
"802",8662,23081
"803",8662,23082
"1063",566,27213
"1066",8715,5063
"1068",8716,13839
"1070",566,27200
"1071",566,26208
"1075",8718,9066
"1517",8792,22808
"1518",8792,22801
"1519",8792,22805
"1520",8792,22797
"1521",8792,22800
"1522",8792,22798
"1523",8792,22807
"1524",8792,22799
"1525",8792,22804
"1526",8792,22803
"1527",8792,22806
"1528",8792,22802
"1529",8792,12472
"1530",8792,12473
"1531",8792,12474
"1532",8792,12477
"1533",8792,12478
"1534",8792,12475
"1535",8792,12479
"1536",8792,12476
"1537",8792,12480
"1538",8792,12481
"1539",8792,12482
"1612",8094,26927
"1613",8094,26701
"1614",8094,24404
"1615",8094,24402
"1630",566,27520
"1656",8804,1125
"1657",8804,1126
"1658",8804,1127
"1659",8804,1128
"1660",8804,1129
"1661",8804,1130
"1662",8804,1131
"1663",8804,1132
"1664",8804,1133
"1665",8804,1134
"1666",8804,11820
"1667",8804,11825
"1668",8804,7471
"1669",8804,7469
"1670",8804,7472
"1671",8804,7470
"1672",8804,7496
"1767",3236,7424
"1856",1616,25163
"1873",8837,19673
"1874",8837,19674
"2123",8900,19673
"2124",8900,19674
"2293",8945,26935
"2296",8950,6284
"2297",8950,6282
"2298",8950,6281
"2299",8950,6273
"2300",8950,6280
"2301",8950,6261
"2302",8950,6271
"2303",8950,6274
"2304",8950,6270
"2305",8950,6260
"2306",8950,16603
"2311",8950,27395
"2312",8950,2445
"2313",8950,538
"2314",8950,149
"2351",8960,2082
"2418",770,28280
"2419",770,28151
"2420",770,28024
"2449",8988,28017
"2476",2714,28216
"2477",2714,28217
"2478",2714,28218
"2564",259,28217
"2565",259,28216
"2566",259,28218
"2621",9030,19724
"2626",7831,26248
"2702",8988,28358
"2837",8290,25109
"2838",8290,20279
"2839",8290,28843
"2840",8290,26094
"2924",5185,28467
"2983",9129,26248
"3296",4278,26010
"3297",4278,26011
"3298",385,22796
"3529",9204,26092
"3530",9204,26093
"3531",9204,26084
"3532",9204,26090
"3533",9204,26091
"3534",9204,26087
"3535",9204,26088
"3536",9204,26085
"3537",9204,26089
"3538",9204,26086
"3639",9222,25257
"3640",1493,6385
"3643",7831,28650
"3644",7831,11267
"3645",7831,11270
"3646",7831,11268
"3935",9258,28650
"3936",9258,11267
"3937",9258,11270
"3938",9258,11268
"4090",770,29077
"4815",9330,10145
"4894",9342,11307
"5261",7503,28857
"5262",7503,28856
"5263",7503,28855
"5499",7515,28856
"5500",7515,28857
"5514",4506,28856
"5515",4506,28855
"5516",4506,28857
"5519",4506,28848
"5520",4506,28849
"5521",4506,28850
"5522",4506,28851
"5523",4506,28852
"5524",4506,28853
"5525",4506,28854
"5592",5846,28856
"5593",5846,28857
"5802",9411,8765
"5804",9411,18111
"5805",9411,18107
"5806",9411,18109
"5807",9411,18105
"5808",9411,18108
"5809",9411,18106
"5810",9411,4238
"5811",9411,4215
"5812",9411,9960
"5813",9411,7598
"5814",9411,9967
"5815",9411,9963
"5816",9411,9964
"5997",9441,7942
"5998",9441,7808
"5999",9441,7809
"6000",9441,7953
"6001",9441,7943
"6002",9441,7947
"6003",9441,7944
"6004",9441,7952
"6005",9441,7949
"6006",9441,7941
"6007",9441,7948
"6008",9441,7945
"6009",9441,7946
"6010",9441,7951
"6011",9441,7950
"6012",9441,4078
"6013",9441,4081
"6014",9441,4080
"6015",9441,7022
"6016",9441,7018
"6017",9441,7017
"6124",9455,9041
"6125",9455,9026
"6126",9455,9035
"6127",9455,29567
"6128",9455,28061
"6562",9500,15941
"6563",9500,15942
"6596",7530,28856
"6597",7530,28857
"6911",5759,28856
"6912",5759,28857
"7051",8094,30802
"7052",8094,27389
"7053",8094,6560
"7054",8094,6561
"7055",8094,6562
"7056",8094,27189
"7057",9455,31313
"7092",5411,11660
"7136",723,28856
"7137",723,28857
"7142",8094,20742
"7735",6913,30141
"7854",2275,27205
"7963",5909,31161
"7979",1031,11785
"7980",1031,11786
"7981",1031,11787
"7982",1031,11788
"7992",9620,31412
"7993",9620,31413
"8462",9882,21024
"8760",9992,32971
"8761",9992,29396
"8762",9992,16252
"8763",9992,16251
"8767",9992,16642
"8768",9992,16643
"8769",9992,16641
"8770",9992,16633
"8771",9992,16632
"8772",9992,16639
"8773",9992,16640
"8791",3078,13836
"8792",3078,13833
"8878",9992,32469
"8879",9992,28106
"8888",9691,13840
"8973",3078,20742
"8974",3078,20740
"9026",9992,16634
"9027",9992,16635
"9028",9992,16637
"9029",9992,16636
"9030",9992,16638
"9032",10311,24653
"9033",10311,24656
"9034",10311,9607
"9036",10311,9596
"9037",10311,9608
"9041",10311,9609
"9042",10311,24652
"9060",9889,32143
"9061",9889,27483
"9062",9889,16928
"9063",9889,16936
"9064",9889,16929
"9065",9889,16930
"9066",9889,17770
"9067",9889,16934
"9068",9889,16937
"9069",9889,16935
"9070",9889,16931
"9071",9889,17327
"9072",9889,16932
"9073",9889,32336
"9074",9889,33065
"9075",9889,32702
"9076",9889,32797
"9077",9889,32779
"9318",9992,33232
"9319",9992,28730
"9320",9992,27812
"9359",1535,13191
"9466",9992,32973
"9475",10804,27205
"9544",10846,33750
"9549",10846,33416
"9650",10876,9057
"9651",10876,25715
"9656",10876,28904
"9657",10876,17140
"9658",10876,17139
"9694",10919,8334
"9695",10919,8335
"9696",10919,8349
"9697",10919,32836
"9698",10919,8350
"9699",10919,8353
"9700",10919,8336
"9701",10919,8341
"9702",10919,8351
"9703",10919,8356
"9704",10919,8332
"9705",10919,8333
"9706",10919,8342
"9707",10919,8327
"9708",10919,8352
"9709",10919,8354
"9710",10919,8328
"9711",10919,8359
"9712",10919,8324
"9713",10919,8355
"9714",10919,8325
"9715",10919,8326
"9716",10919,8358
"9717",10919,8357
"9718",10919,8346
"9719",10919,8344
"9720",10919,26275
"9721",10919,8345
"9722",10919,8330
"9723",10919,8329
"9724",10919,8322
"9725",10919,8360
"9726",10919,8361
"9727",10919,26274
"9728",10919,28950
"9729",10919,25021
"9730",10919,28948
"9731",10919,25022
"9732",10919,24904
"9733",10919,27122
"9765",10697,10416
"9773",9992,33962
"9850",3078,9038
"9851",9992,33841
"9852",3078,31458
"9853",3078,32972
"9854",10992,5062
"9876",9992,18667
"9910",3078,29387
"9911",3078,28709
"9912",3078,25756
"9913",3078,16144
"10008",11047,33750
"10009",11047,33003
"10069",3078,32215
"10713",11140,29396
"10715",11140,33627
"10718",11140,33962
"10721",11140,9041
"10722",11140,9039
"10727",11140,13840
"10850",665,25922
"10851",665,26403
"10857",3078,33222
"10861",11216,9027
"11005",3078,34553
"11006",3078,34391
"11007",3078,12657
"11029",11277,5818
"11030",11277,5820
"11031",11277,5817
"11036",11282,33750
"11038",11282,33003
"11169",11317,34678
"11170",11317,34025
"11171",11317,33561
"11172",11317,33560
"11173",11317,33559
"11259",10753,34109
"11260",10753,33292
"11261",10753,33630
"11349",3078,18750
"11353",11457,1715
"11364",11461,34445
"11365",11461,34438
"11366",11461,34437
"11367",11461,34440
"11412",10311,34623
"11437",3078,7389
"11438",3078,8922
"11439",3078,8037
"11551",610,29640
"11552",610,29641
"11553",610,29642
"11554",610,29643
"11555",610,29644
"11556",610,29645
"11557",610,34338
"11558",610,35005
"11559",610,35006
"11560",610,31662
"11561",610,31663
"11562",610,31667
"11563",610,31669
"11564",610,31670
"11636",11607,29446
"11702",11651,23218
"11703",11651,23214
"11704",11651,23209
"11705",11651,23208
"11706",11651,23212
"11707",11651,23210
"11708",11651,23211
"11709",11651,23216
"11710",11651,23213
"11711",11652,32644
"11712",11652,32646
"11713",11652,32645
"11732",3078,11697
"11733",9992,35088
"11775",3078,21046
"11776",3078,33378
"11777",3078,35135
"11778",11683,13607
"11814",11706,32215
"11830",385,35371
"12074",10876,31510
"12147",11282,11208
"12190",1379,8404
"12211",11317,30124
"12212",11317,35062
"12627",3078,32975
"12784",7737,10510
"12833",3078,9039
"12880",13962,1382
"12881",13962,10147
"13115",15806,36660
"13147",16033,19879
"13148",16033,35923
"13149",16033,36004
"13150",16033,36445
"13288",770,32973
"13304",665,9067
"13305",665,9073
"13306",665,9074
"13307",665,9077
"13308",665,36981
"13309",665,30499
"13310",665,30403
"13311",665,30410
"13312",665,35299
"13313",665,30497
"13314",665,30406
"13315",665,30408
"13316",665,35300
"13317",665,30501
"13318",665,30402
"13319",665,30407
"13320",665,35301
"13321",665,30502
"13322",665,30404
"13323",665,30409
"13324",665,35302
