"","V1","V2"
"19",8521,22806
"20",8521,22800
"125",8346,25979
"645",144,16642
"699",8626,25104
"701",8626,19882
"702",8626,19874
"703",8626,19880
"704",8626,19878
"705",8626,19876
"706",8626,19875
"707",8626,22370
"708",8626,5202
"709",8626,5218
"710",8626,5211
"711",8626,5215
"715",8644,23996
"726",7266,26029
"727",7266,17341
"728",7266,26031
"729",7266,17336
"730",7266,10613
"731",7266,25090
"732",7266,1123
"733",7266,10614
"734",7266,1121
"918",3483,24456
"919",8680,19283
"920",8680,5202
"992",8694,6276
"993",8694,6282
"1007",2264,8579
"1021",8703,19673
"1022",8703,19674
"1103",5740,25731
"1241",8745,13032
"1242",8745,13026
"1243",8745,13031
"1244",8745,4654
"1245",8745,4656
"1246",8745,9758
"1247",8745,9239
"1248",8745,9232
"1249",8745,5741
"1250",8745,13172
"1255",8748,14723
"1283",8626,26976
"1399",8770,6821
"1462",8783,25692
"1463",8783,25691
"1464",8783,25689
"1465",8783,25690
"1466",8783,25693
"1623",7266,27520
"1624",7266,27213
"1790",8825,11820
"1873",8837,19673
"1874",8837,19674
"1883",8626,27698
"1920",8694,27033
"1921",8694,27025
"1922",8694,27028
"1923",8694,27024
"1924",144,6561
"1925",144,26248
"2125",8901,19673
"2126",8901,19674
"2245",8926,26571
"2268",5740,16205
"2269",8346,25981
"2309",8952,9062
"2310",8952,9057
"2349",8959,26749
"2362",8962,9026
"2363",8962,9040
"2400",8493,28067
"2401",8493,28183
"2402",8493,26068
"2403",8493,26066
"2404",8493,11875
"2405",8493,27395
"2406",8493,11874
"2407",8493,26067
"2408",8493,26069
"2409",8493,25862
"2410",8493,11866
"2411",8493,11870
"2412",8493,11869
"2413",8493,11867
"2414",8493,11868
"2415",8493,11872
"2416",8493,11871
"2552",9014,28208
"2685",9040,1716
"2686",9040,19020
"2687",9040,7430
"2688",9040,7510
"2689",9040,28357
"2740",9067,8936
"2762",9067,9026
"2821",8680,22327
"2822",8680,9769
"2823",8680,13971
"2824",8680,27425
"2825",8680,16358
"2826",8680,8812
"2827",8680,25776
"2828",8680,26894
"2829",8680,27587
"2873",9110,11527
"2896",9115,26900
"2897",9115,26923
"2979",9115,25714
"2993",9115,25736
"2994",9115,21122
"2995",9115,21124
"3117",8346,29139
"3118",8346,29008
"3119",8346,29009
"3120",8346,29156
"3125",9157,26042
"3126",9157,27391
"3195",8626,28801
"3217",8626,22099
"3529",9204,26092
"3530",9204,26093
"3531",9204,26084
"3532",9204,26090
"3533",9204,26091
"3534",9204,26087
"3535",9204,26088
"3536",9204,26085
"3537",9204,26089
"3538",9204,26086
"3548",9207,26042
"3549",9207,13961
"3550",9207,28159
"3551",9207,13963
"3552",9207,13960
"3553",9207,13962
"3554",9207,13964
"3555",9207,25714
"3668",9230,29567
"3676",9236,7021
"3677",9236,7022
"3678",9236,4080
"3679",9236,4081
"3680",9236,4079
"3681",9236,4078
"3682",9236,4077
"3683",9236,7011
"3684",9236,7020
"3685",9236,7012
"3686",9236,7013
"3687",9236,7014
"3688",9236,7015
"3689",9236,7016
"3690",9236,7017
"3691",9236,7018
"3692",9236,7019
"3693",9236,4076
"3729",9243,22798
"3730",9243,22807
"3731",9243,22800
"3732",9243,22797
"3733",9243,22808
"3734",9243,22801
"3735",9243,22805
"3736",9243,22799
"3737",9243,22804
"3738",9243,22803
"3739",9243,22806
"3740",9243,22802
"3741",9243,12472
"3742",9243,12473
"3743",9243,12474
"3744",9243,12475
"3745",9243,12476
"3746",9243,12477
"3747",9243,12478
"3748",9243,12479
"3749",9243,12480
"3750",9243,12481
"3751",9243,12482
"3752",9243,10264
"3753",9243,866
"3754",9243,4749
"3755",9243,4750
"3756",9243,4752
"3757",9243,4753
"3758",9243,4754
"3759",9243,4755
"3760",9243,4751
"3761",9243,4756
"3762",9243,4757
"3763",9243,4758
"3764",9243,4759
"3765",9243,4748
"3766",9243,21021
"3767",9243,28257
"3768",9243,28256
"3769",9243,28258
